// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd
// command took 1.62s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd
// command took 11.96s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd
// command took 2.22s and exited with 0
// start dotnet publish -c Release  --no-build --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd
// command took 1.09s and exited with 0
// ***** Done, took 00:00:17 (17.25 sec)   *****
// Found 6 benchmarks:
//   DictionaryPerf.DeserializeDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
//   DictionaryPerf.DeserializeIDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
//   DictionaryPerf.DeserializeIReadOnlyDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
//   DictionaryPerf.SerializeDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
//   DictionaryPerf.SerializeIDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
//   DictionaryPerf.SerializeIReadOnlyDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: DictionaryPerf.DeserializeDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\repos\corefx\artifacts\bin\runtime\9f02e737-4657-4516-a212-5d3e6b9c90d3\CoreRun.exe "63adafb0-baa2-447d-a36d-1fee4f1cc4bd.dll" --benchmarkName "SerializerDictSupport.DictionaryPerf.DeserializeDict" --job "Runtime=Core, Toolchain=CoreRun" --benchmarkId 0 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd\bin\Release\netcoreapp3.0\publish
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core ? (CoreCLR 3.0.19.27171, CoreFX 4.700.19.27801), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-ARKSIY(Runtime=Core)

OverheadActual  12: 1048576 op, 3811400.00 ns, 3.6348 ns/op
OverheadActual  13: 1048576 op, 3731500.00 ns, 3.5586 ns/op
OverheadActual  14: 1048576 op, 3682900.00 ns, 3.5123 ns/op
OverheadActual  15: 1048576 op, 3885100.00 ns, 3.7051 ns/op

WorkloadWarmup   1: 1048576 op, 718635600.00 ns, 685.3443 ns/op
WorkloadWarmup   2: 1048576 op, 716432900.00 ns, 683.2437 ns/op
WorkloadWarmup   3: 1048576 op, 707226800.00 ns, 674.4640 ns/op
WorkloadWarmup   4: 1048576 op, 705445200.00 ns, 672.7650 ns/op
WorkloadWarmup   5: 1048576 op, 739816900.00 ns, 705.5444 ns/op
WorkloadWarmup   6: 1048576 op, 774773600.00 ns, 738.8817 ns/op
WorkloadWarmup   7: 1048576 op, 759443600.00 ns, 724.2619 ns/op
WorkloadWarmup   8: 1048576 op, 700347500.00 ns, 667.9034 ns/op
WorkloadWarmup   9: 1048576 op, 730599900.00 ns, 696.7544 ns/op
WorkloadWarmup  10: 1048576 op, 725486300.00 ns, 691.8777 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 717159600.00 ns, 683.9367 ns/op
WorkloadActual   2: 1048576 op, 716255600.00 ns, 683.0746 ns/op
WorkloadActual   3: 1048576 op, 733393400.00 ns, 699.4184 ns/op
WorkloadActual   4: 1048576 op, 831635200.00 ns, 793.1091 ns/op
WorkloadActual   5: 1048576 op, 739491500.00 ns, 705.2341 ns/op
WorkloadActual   6: 1048576 op, 740504000.00 ns, 706.1996 ns/op
WorkloadActual   7: 1048576 op, 729422200.00 ns, 695.6312 ns/op
WorkloadActual   8: 1048576 op, 800291000.00 ns, 763.2170 ns/op
WorkloadActual   9: 1048576 op, 744459000.00 ns, 709.9714 ns/op
WorkloadActual  10: 1048576 op, 872129600.00 ns, 831.7276 ns/op
WorkloadActual  11: 1048576 op, 756518800.00 ns, 721.4725 ns/op
WorkloadActual  12: 1048576 op, 721107100.00 ns, 687.7013 ns/op
WorkloadActual  13: 1048576 op, 708262900.00 ns, 675.4521 ns/op
WorkloadActual  14: 1048576 op, 710398100.00 ns, 677.4884 ns/op
WorkloadActual  15: 1048576 op, 720898200.00 ns, 687.5021 ns/op
WorkloadActual  16: 1048576 op, 716534800.00 ns, 683.3408 ns/op
WorkloadActual  17: 1048576 op, 728560000.00 ns, 694.8090 ns/op
WorkloadActual  18: 1048576 op, 721236900.00 ns, 687.8251 ns/op
WorkloadActual  19: 1048576 op, 713542600.00 ns, 680.4873 ns/op

// AfterActualRun
WorkloadResult   1: 1048576 op, 713428500.00 ns, 680.3784 ns/op
WorkloadResult   2: 1048576 op, 712524500.00 ns, 679.5163 ns/op
WorkloadResult   3: 1048576 op, 729662300.00 ns, 695.8602 ns/op
WorkloadResult   4: 1048576 op, 735760400.00 ns, 701.6758 ns/op
WorkloadResult   5: 1048576 op, 736772900.00 ns, 702.6414 ns/op
WorkloadResult   6: 1048576 op, 725691100.00 ns, 692.0730 ns/op
WorkloadResult   7: 1048576 op, 740727900.00 ns, 706.4132 ns/op
WorkloadResult   8: 1048576 op, 752787700.00 ns, 717.9143 ns/op
WorkloadResult   9: 1048576 op, 717376000.00 ns, 684.1431 ns/op
WorkloadResult  10: 1048576 op, 704531800.00 ns, 671.8939 ns/op
WorkloadResult  11: 1048576 op, 706667000.00 ns, 673.9302 ns/op
WorkloadResult  12: 1048576 op, 717167100.00 ns, 683.9438 ns/op
WorkloadResult  13: 1048576 op, 712803700.00 ns, 679.7826 ns/op
WorkloadResult  14: 1048576 op, 724828900.00 ns, 691.2507 ns/op
WorkloadResult  15: 1048576 op, 717505800.00 ns, 684.2669 ns/op
WorkloadResult  16: 1048576 op, 709811500.00 ns, 676.9290 ns/op
GC:  104 0 0 436207616 1048576

// AfterAll

Mean = 688.9133 ns, StdErr = 3.2492 ns (0.47%); N = 16, StdDev = 12.9966 ns
Min = 671.8939 ns, Q1 = 679.6494 ns, Median = 684.2050 ns, Q3 = 698.7680 ns, Max = 717.9143 ns
IQR = 19.1185 ns, LowerFence = 650.9716 ns, UpperFence = 727.4458 ns
ConfidenceInterval = [675.6802 ns; 702.1464 ns] (CI 99.9%), Margin = 13.2331 ns (1.92% of Mean)
Skewness = 0.63, Kurtosis = 2.28, MValue = 2

// **************************
// Benchmark: DictionaryPerf.DeserializeIDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\repos\corefx\artifacts\bin\runtime\9f02e737-4657-4516-a212-5d3e6b9c90d3\CoreRun.exe "63adafb0-baa2-447d-a36d-1fee4f1cc4bd.dll" --benchmarkName "SerializerDictSupport.DictionaryPerf.DeserializeIDict" --job "Runtime=Core, Toolchain=CoreRun" --benchmarkId 1 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd\bin\Release\netcoreapp3.0\publish
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core ? (CoreCLR 3.0.19.27171, CoreFX 4.700.19.27801), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-SMTSXB(Runtime=Core)

OverheadJitting  1: 1 op, 446100.00 ns, 446.1000 us/op
WorkloadJitting  1: 1 op, 24396300.00 ns, 24.3963 ms/op

OverheadJitting  2: 16 op, 695700.00 ns, 43.4813 us/op
WorkloadJitting  2: 16 op, 659600.00 ns, 41.2250 us/op

WorkloadPilot    1: 16 op, 64600.00 ns, 4.0375 us/op
WorkloadPilot    2: 32 op, 54100.00 ns, 1.6906 us/op
WorkloadPilot    3: 64 op, 100400.00 ns, 1.5688 us/op
WorkloadPilot    4: 128 op, 222400.00 ns, 1.7375 us/op
WorkloadPilot    5: 256 op, 420000.00 ns, 1.6406 us/op
WorkloadPilot    6: 512 op, 831800.00 ns, 1.6246 us/op
WorkloadPilot    7: 1024 op, 1551200.00 ns, 1.5148 us/op
WorkloadPilot    8: 2048 op, 3609400.00 ns, 1.7624 us/op
WorkloadPilot    9: 4096 op, 6312100.00 ns, 1.5410 us/op
WorkloadPilot   10: 8192 op, 13031300.00 ns, 1.5907 us/op
WorkloadPilot   11: 16384 op, 24643000.00 ns, 1.5041 us/op
WorkloadPilot   12: 32768 op, 48911200.00 ns, 1.4927 us/op
WorkloadPilot   13: 65536 op, 60955700.00 ns, 930.1102 ns/op
WorkloadPilot   14: 131072 op, 90200300.00 ns, 688.1737 ns/op
WorkloadPilot   15: 262144 op, 180998100.00 ns, 690.4530 ns/op
WorkloadPilot   16: 524288 op, 355592500.00 ns, 678.2389 ns/op
WorkloadPilot   17: 1048576 op, 720575900.00 ns, 687.1947 ns/op

OverheadWarmup   1: 1048576 op, 3838200.00 ns, 3.6604 ns/op
OverheadWarmup   2: 1048576 op, 3639400.00 ns, 3.4708 ns/op
OverheadWarmup   3: 1048576 op, 3650200.00 ns, 3.4811 ns/op
OverheadWarmup   4: 1048576 op, 3741800.00 ns, 3.5685 ns/op
OverheadWarmup   5: 1048576 op, 3764700.00 ns, 3.5903 ns/op
OverheadWarmup   6: 1048576 op, 3727100.00 ns, 3.5544 ns/op
OverheadWarmup   7: 1048576 op, 3728100.00 ns, 3.5554 ns/op
OverheadWarmup   8: 1048576 op, 3927100.00 ns, 3.7452 ns/op
OverheadWarmup   9: 1048576 op, 3794300.00 ns, 3.6185 ns/op

OverheadActual   1: 1048576 op, 3657900.00 ns, 3.4884 ns/op
OverheadActual   2: 1048576 op, 3737400.00 ns, 3.5643 ns/op
OverheadActual   3: 1048576 op, 3686400.00 ns, 3.5156 ns/op
OverheadActual   4: 1048576 op, 3705900.00 ns, 3.5342 ns/op
OverheadActual   5: 1048576 op, 3668700.00 ns, 3.4987 ns/op
OverheadActual   6: 1048576 op, 3768100.00 ns, 3.5935 ns/op
OverheadActual   7: 1048576 op, 3725000.00 ns, 3.5524 ns/op
OverheadActual   8: 1048576 op, 3735300.00 ns, 3.5623 ns/op
OverheadActual   9: 1048576 op, 3714500.00 ns, 3.5424 ns/op
OverheadActual  10: 1048576 op, 3782600.00 ns, 3.6074 ns/op
OverheadActual  11: 1048576 op, 3664400.00 ns, 3.4946 ns/op
OverheadActual  12: 1048576 op, 3782400.00 ns, 3.6072 ns/op
OverheadActual  13: 1048576 op, 3718100.00 ns, 3.5459 ns/op
OverheadActual  14: 1048576 op, 3676000.00 ns, 3.5057 ns/op
OverheadActual  15: 1048576 op, 3694900.00 ns, 3.5237 ns/op

WorkloadWarmup   1: 1048576 op, 734735300.00 ns, 700.6982 ns/op
WorkloadWarmup   2: 1048576 op, 717777400.00 ns, 684.5259 ns/op
WorkloadWarmup   3: 1048576 op, 701485400.00 ns, 668.9886 ns/op
WorkloadWarmup   4: 1048576 op, 707069300.00 ns, 674.3138 ns/op
WorkloadWarmup   5: 1048576 op, 704595800.00 ns, 671.9549 ns/op
WorkloadWarmup   6: 1048576 op, 707999100.00 ns, 675.2006 ns/op
WorkloadWarmup   7: 1048576 op, 703735900.00 ns, 671.1349 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 709015600.00 ns, 676.1700 ns/op
WorkloadActual   2: 1048576 op, 705129600.00 ns, 672.4640 ns/op
WorkloadActual   3: 1048576 op, 727133900.00 ns, 693.4489 ns/op
WorkloadActual   4: 1048576 op, 733987100.00 ns, 699.9846 ns/op
WorkloadActual   5: 1048576 op, 739813100.00 ns, 705.5408 ns/op
WorkloadActual   6: 1048576 op, 735731900.00 ns, 701.6486 ns/op
WorkloadActual   7: 1048576 op, 699831000.00 ns, 667.4109 ns/op
WorkloadActual   8: 1048576 op, 704418000.00 ns, 671.7854 ns/op
WorkloadActual   9: 1048576 op, 707163800.00 ns, 674.4040 ns/op
WorkloadActual  10: 1048576 op, 704587900.00 ns, 671.9474 ns/op
WorkloadActual  11: 1048576 op, 708713000.00 ns, 675.8814 ns/op
WorkloadActual  12: 1048576 op, 697400000.00 ns, 665.0925 ns/op
WorkloadActual  13: 1048576 op, 696486800.00 ns, 664.2216 ns/op
WorkloadActual  14: 1048576 op, 706334600.00 ns, 673.6132 ns/op
WorkloadActual  15: 1048576 op, 747207700.00 ns, 712.5928 ns/op
WorkloadActual  16: 1048576 op, 807505700.00 ns, 770.0974 ns/op
WorkloadActual  17: 1048576 op, 735068700.00 ns, 701.0161 ns/op
WorkloadActual  18: 1048576 op, 710330900.00 ns, 677.4243 ns/op
WorkloadActual  19: 1048576 op, 722383100.00 ns, 688.9182 ns/op
WorkloadActual  20: 1048576 op, 766792400.00 ns, 731.2702 ns/op
WorkloadActual  21: 1048576 op, 730236000.00 ns, 696.4073 ns/op
WorkloadActual  22: 1048576 op, 737377100.00 ns, 703.2176 ns/op
WorkloadActual  23: 1048576 op, 739907500.00 ns, 705.6308 ns/op
WorkloadActual  24: 1048576 op, 755821200.00 ns, 720.8073 ns/op
WorkloadActual  25: 1048576 op, 753970800.00 ns, 719.0426 ns/op
WorkloadActual  26: 1048576 op, 756847800.00 ns, 721.7863 ns/op
WorkloadActual  27: 1048576 op, 722755200.00 ns, 689.2731 ns/op
WorkloadActual  28: 1048576 op, 751814000.00 ns, 716.9857 ns/op
WorkloadActual  29: 1048576 op, 746081200.00 ns, 711.5185 ns/op
WorkloadActual  30: 1048576 op, 748801600.00 ns, 714.1129 ns/op

// AfterActualRun
WorkloadResult   1: 1048576 op, 705301100.00 ns, 672.6275 ns/op
WorkloadResult   2: 1048576 op, 701415100.00 ns, 668.9216 ns/op
WorkloadResult   3: 1048576 op, 723419400.00 ns, 689.9065 ns/op
WorkloadResult   4: 1048576 op, 730272600.00 ns, 696.4422 ns/op
WorkloadResult   5: 1048576 op, 736098600.00 ns, 701.9983 ns/op
WorkloadResult   6: 1048576 op, 732017400.00 ns, 698.1062 ns/op
WorkloadResult   7: 1048576 op, 696116500.00 ns, 663.8684 ns/op
WorkloadResult   8: 1048576 op, 700703500.00 ns, 668.2429 ns/op
WorkloadResult   9: 1048576 op, 703449300.00 ns, 670.8615 ns/op
WorkloadResult  10: 1048576 op, 700873400.00 ns, 668.4050 ns/op
WorkloadResult  11: 1048576 op, 704998500.00 ns, 672.3390 ns/op
WorkloadResult  12: 1048576 op, 693685500.00 ns, 661.5500 ns/op
WorkloadResult  13: 1048576 op, 692772300.00 ns, 660.6791 ns/op
WorkloadResult  14: 1048576 op, 702620100.00 ns, 670.0707 ns/op
WorkloadResult  15: 1048576 op, 743493200.00 ns, 709.0504 ns/op
WorkloadResult  16: 1048576 op, 731354200.00 ns, 697.4737 ns/op
WorkloadResult  17: 1048576 op, 706616400.00 ns, 673.8819 ns/op
WorkloadResult  18: 1048576 op, 718668600.00 ns, 685.3758 ns/op
WorkloadResult  19: 1048576 op, 763077900.00 ns, 727.7278 ns/op
WorkloadResult  20: 1048576 op, 726521500.00 ns, 692.8649 ns/op
WorkloadResult  21: 1048576 op, 733662600.00 ns, 699.6752 ns/op
WorkloadResult  22: 1048576 op, 736193000.00 ns, 702.0884 ns/op
WorkloadResult  23: 1048576 op, 752106700.00 ns, 717.2648 ns/op
WorkloadResult  24: 1048576 op, 750256300.00 ns, 715.5002 ns/op
WorkloadResult  25: 1048576 op, 753133300.00 ns, 718.2439 ns/op
WorkloadResult  26: 1048576 op, 719040700.00 ns, 685.7306 ns/op
WorkloadResult  27: 1048576 op, 748099500.00 ns, 713.4433 ns/op
WorkloadResult  28: 1048576 op, 742366700.00 ns, 707.9761 ns/op
WorkloadResult  29: 1048576 op, 745087100.00 ns, 710.5704 ns/op
GC:  104 0 0 436207616 1048576

// AfterAll

Mean = 690.3754 ns, StdErr = 3.7200 ns (0.54%); N = 29, StdDev = 20.0330 ns
Min = 660.6791 ns, Q1 = 670.4661 ns, Median = 692.8649 ns, Q3 = 708.5132 ns, Max = 727.7278 ns
IQR = 38.0471 ns, LowerFence = 613.3955 ns, UpperFence = 765.5838 ns
ConfidenceInterval = [676.7083 ns; 704.0424 ns] (CI 99.9%), Margin = 13.6671 ns (1.98% of Mean)
Skewness = 0.06, Kurtosis = 1.59, MValue = 3.08

// **************************
// Benchmark: DictionaryPerf.DeserializeIReadOnlyDict: Job-MPWNJU(Runtime=Core, Toolchain=CoreRun)
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\repos\corefx\artifacts\bin\runtime\9f02e737-4657-4516-a212-5d3e6b9c90d3\CoreRun.exe "63adafb0-baa2-447d-a36d-1fee4f1cc4bd.dll" --benchmarkName "SerializerDictSupport.DictionaryPerf.DeserializeIReadOnlyDict" --job "Runtime=Core, Toolchain=CoreRun" --benchmarkId 2 in D:\benchmarks\SerializerDictSupport\bin\Release\netcoreapp3.0\63adafb0-baa2-447d-a36d-1fee4f1cc4bd\bin\Release\netcoreapp3.0\publish
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core ? (CoreCLR 3.0.19.27171, CoreFX 4.700.19.27801), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-GDEKCC(Runtime=Core)

OverheadJitting  1: 1 op, 400400.00 ns, 400.4000 us/op
WorkloadJitting  1: 1 op, 29086500.00 ns, 29.0865 ms/op

OverheadJitting  2: 16 op, 702800.00 ns, 43.9250 us/op
WorkloadJitting  2: 16 op, 1048300.00 ns, 65.5187 us/op

WorkloadPilot    1: 16 op, 131300.00 ns, 8.2063 us/op
WorkloadPilot    2: 32 op, 120900.00 ns, 3.7781 us/op
WorkloadPilot    3: 64 op, 150200.00 ns, 2.3469 us/op
WorkloadPilot    4: 128 op, 366900.00 ns, 2.8664 us/op
WorkloadPilot    5: 256 op, 571000.00 ns, 2.2305 us/op
WorkloadPilot    6: 512 op, 998700.00 ns, 1.9506 us/op
WorkloadPilot    7: 1024 op, 1966200.00 ns, 1.9201 us/op
WorkloadPilot    8: 2048 op, 3730700.00 ns, 1.8216 us/op
WorkloadPilot    9: 4096 op, 10593700.00 ns, 2.5864 us/op
WorkloadPilot   10: 8192 op, 18133500.00 ns, 2.2136 us/op
WorkloadPilot   11: 16384 op, 29056600.00 ns, 1.7735 us/op
WorkloadPilot   12: 32768 op, 49824800.00 ns, 1.5205 us/op
WorkloadPilot   13: 65536 op, 57056900.00 ns, 870.6192 ns/op
WorkloadPilot   14: 131072 op, 96593600.00 ns, 736.9507 ns/op
WorkloadPilot   15: 262144 op, 187465800.00 ns, 715.1253 ns/op
WorkloadPilot   16: 524288 op, 369997000.00 ns, 705.7133 ns/op
WorkloadPilot   17: 1048576 op, 825961100.00 ns, 787.6979 ns/op

OverheadWarmup   1: 1048576 op, 3978000.00 ns, 3.7937 ns/op
OverheadWarmup   2: 1048576 op, 3857600.00 ns, 3.6789 ns/op
OverheadWarmup   3: 1048576 op, 3943500.00 ns, 3.7608 ns/op
OverheadWarmup   4: 1048576 op, 3794200.00 ns, 3.6184 ns/op
OverheadWarmup   5: 1048576 op, 4030000.00 ns, 3.8433 ns/op
OverheadWarmup   6: 1048576 op, 3834700.00 ns, 3.6571 ns/op

OverheadActual   1: 1048576 op, 3946000.00 ns, 3.7632 ns/op
OverheadActual   2: 1048576 op, 3892400.00 ns, 3.7121 ns/op
OverheadActual   3: 1048576 op, 3762100.00 ns, 3.5878 ns/op
OverheadActual   4: 1048576 op, 4440100.00 ns, 4.2344 ns/op
OverheadActual   5: 1048576 op, 4046300.00 ns, 3.8589 ns/op
OverheadActual   6: 1048576 op, 3960100.00 ns, 3.7766 ns/op
OverheadActual   7: 1048576 op, 3935600.00 ns, 3.7533 ns/op
OverheadActual   8: 1048576 op, 4242200.00 ns, 4.0457 ns/op
OverheadActual   9: 1048576 op, 3801400.00 ns, 3.6253 ns/op
OverheadActual  10: 1048576 op, 3837000.00 ns, 3.6592 ns/op
OverheadActual  11: 1048576 op, 3979600.00 ns, 3.7952 ns/op
OverheadActual  12: 1048576 op, 3753300.00 ns, 3.5794 ns/op
OverheadActual  13: 1048576 op, 4165800.00 ns, 3.9728 ns/op
OverheadActual  14: 1048576 op, 3823700.00 ns, 3.6466 ns/op
OverheadActual  15: 1048576 op, 3839800.00 ns, 3.6619 ns/op

WorkloadWarmup   1: 1048576 op, 741129200.00 ns, 706.7959 ns/op
WorkloadWarmup   2: 1048576 op, 711803300.00 ns, 678.8285 ns/op
WorkloadWarmup   3: 1048576 op, 798010500.00 ns, 761.0421 ns/op
WorkloadWarmup   4: 1048576 op, 730775300.00 ns, 696.9216 ns/op
WorkloadWarmup   5: 1048576 op, 729858700.00 ns, 696.0475 ns/op
WorkloadWarmup   6: 1048576 op, 726161600.00 ns, 692.5217 ns/op
WorkloadWarmup   7: 1048576 op, 938477900.00 ns, 895.0023 ns/op
WorkloadWarmup   8: 1048576 op, 719562200.00 ns, 686.2280 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 738836000.00 ns, 704.6089 ns/op
WorkloadActual   2: 1048576 op, 721906100.00 ns, 688.4633 ns/op
WorkloadActual   3: 1048576 op, 726936400.00 ns, 693.2606 ns/op
WorkloadActual   4: 1048576 op, 715308600.00 ns, 682.1714 ns/op
